Aall,Pall,Hall
26.5263157894737,0.0526315789473684,0.894736842105263
171.578947368421,0,0.0526315789473684
19.6842105263158,0,0.578947368421053
67.4210526315789,0,1.57894736842105
33.5263157894737,0,0.526315789473684
20.1052631578947,0,3.31578947368421
66,0,1.78947368421053
87.0526315789474,0.0526315789473684,2.78947368421053
15.4736842105263,9.05263157894737,0.789473684210526
37.2631578947368,0.105263157894737,1.84210526315789
37.6842105263158,0,1.84210526315789
57,0.157894736842105,3
63.6842105263158,0,1.89473684210526
52.3684210526316,0,0.105263157894737
115.947368421053,0,0
9.05263157894737,0,0.473684210526316
36.8947368421053,0,0.631578947368421
37.2631578947368,0,0.526315789473684
84.4210526315789,0,1.84210526315789
43.3684210526316,0,1.36842105263158
6.89473684210526,3.15789473684211,0.578947368421053
4.26315789473684,3.63157894736842,0.473684210526316
1.42105263157895,10,0.473684210526316
1,4.47368421052632,0.473684210526316
4.57894736842105,9.68421052631579,0.263157894736842
4.36842105263158,1.10526315789474,0.736842105263158
2.26315789473684,3,0.368421052631579
0.842105263157895,3.10526315789474,0.578947368421053
1.42105263157895,1.42105263157895,2.26315789473684
1.36842105263158,2.21052631578947,1.42105263157895
70.4210526315789,0.421052631578947,1.47368421052632
42.1052631578947,7.63157894736842,1.57894736842105
6.73684210526316,0,0.684210526315789
2.36842105263158,0,1
26.3157894736842,0,3.26315789473684
41.5789473684211,0.105263157894737,1
31.8421052631579,0.263157894736842,2.94736842105263
16.1578947368421,0.368421052631579,3.21052631578947
