block treatment subject subjecttype replicate damagetreat damagecontrol cattreat catsubject catblock cattype ratio PI
4 1 3 4 1 358.4 25.6 A H 4 medium 0.933333333333333 -0.866666666666667
4 1 3 4 3 104.3 275 A H 4 medium 0.274980226733456 0.450039546533087
5 3 3 3 1 100 0 H H 5 small 1 -1
5 3 3 3 3 41.1 205.7 H H 5 small 0.166531604538088 0.666936790923825
5 3 3 4 1 17.1 444.6 H H 5 medium 0.037037037037037 0.925925925925926
5 3 3 4 2 48.9 133.8 H H 5 medium 0.267651888341543 0.464696223316913
5 3 3 4 3 105.4 423.5 H H 5 medium 0.199281527698998 0.601436944602004
5 3 2 1 1 3.6 13 H P 5 M 0.216867469879518 0.566265060240964
5 3 2 1 2 17.6 9.6 H P 5 M 0.647058823529412 -0.294117647058824
5 3 2 1 3 10 0 H P 5 M 1 -1
5 3 2 0 1 0 10 H P 5 F 0 1
5 3 2 0 2 4.6 13.7 H P 5 F 0.251366120218579 0.497267759562842
5 3 2 0 3 0 10 H P 5 F 0 1
5 1 3 3 2 57.8 4.1 A H 5 small 0.933764135702746 -0.867528271405493
5 1 3 3 3 0 100 A H 5 small 0 1
5 1 3 4 1 88.8 272.5 A H 5 medium 0.245779130916136 0.508441738167728
5 1 3 4 2 277.3 298.7 A H 5 medium 0.481423611111111 0.0371527777777777
5 1 3 4 3 98.2 308.1 A H 5 medium 0.241693330051686 0.516613339896628
5 1 2 1 1 8.8 12.1 A P 5 M 0.421052631578947 0.157894736842105
5 1 2 1 2 0 10 A P 5 M 0 1
5 1 2 1 3 0 10 A P 5 M 0 1
5 1 2 0 1 10 0 A P 5 F 1 -1
5 1 2 0 2 10 0 A P 5 F 1 -1
5 1 2 0 3 4.4 11 A P 5 F 0.285714285714286 0.428571428571429
5 2 3 3 1 0 10 P H 5 small 0 1
5 2 3 3 2 15.4 185.4 P H 5 small 0.0766932270916335 0.846613545816733
5 2 3 3 3 591.1 32 P H 5 small 0.948643877387257 -0.897287754774515
5 2 3 4 1 121.1 162.6 P H 5 medium 0.426859358477265 0.146281283045471
5 2 3 4 2 1005 84.1 P H 5 medium 0.922780277293178 -0.845560554586356
5 2 3 4 3 456.3 468.6 P H 5 medium 0.493350632500811 0.0132987349983782
5 2 2 1 1 9.4 8.6 P P 5 M 0.522222222222222 -0.0444444444444445
5 2 2 1 2 9.8 13.5 P P 5 M 0.420600858369099 0.158798283261803
5 2 2 1 3 4.4 13.2 P P 5 M 0.25 0.5
5 2 2 0 1 10 0 P P 5 F 1 -1
5 2 2 0 2 9.7 5.8 P P 5 F 0.625806451612903 -0.251612903225806
5 2 2 0 3 17.9 18.8 P P 5 F 0.487738419618529 0.0245231607629428
6 3 2 0 1 100 0 H P 6 F 1 -1
6 3 2 0 2 0 100 H P 6 F 0 1
6 3 2 0 3 8 22.4 H P 6 F 0.263157894736842 0.473684210526316
6 3 2 1 1 0 10 H P 6 M 0 1
6 3 2 1 2 25.4 15.6 H P 6 M 0.619512195121951 -0.239024390243902
6 3 2 1 3 9.4 18.7 H P 6 M 0.334519572953737 0.330960854092527
6 3 3 3 1 21.3 439.5 H H 6 small 0.0462239583333333 0.907552083333333
6 3 3 3 2 192 288 H H 6 small 0.4 0.2
6 3 3 3 3 50.3 34.3 H H 6 small 0.594562647754137 -0.189125295508274
6 3 3 4 1 370 658 H H 6 medium 0.359922178988327 0.280155642023346
6 3 3 4 2 86.3 492.5 H H 6 medium 0.149101589495508 0.701796821008984
6 2 2 0 1 7 11.1 P P 6 F 0.386740331491713 0.226519337016575
6 2 2 0 2 8.3 11.5 P P 6 F 0.419191919191919 0.161616161616162
6 2 2 0 3 0 10 P P 6 F 0 1
6 2 2 1 2 2.8 5.6 P P 6 M 0.333333333333333 0.333333333333333
6 2 2 1 3 2.4 3.6 P P 6 M 0.4 0.2
6 2 3 3 1 75.4 441.1 P H 6 small 0.145982575024201 0.708034849951597
6 2 3 3 3 232 430 P H 6 small 0.350453172205438 0.299093655589124
6 2 3 4 1 181.7 710.2 P H 6 medium 0.203722390402511 0.592555219194977
6 2 3 4 2 893.6 429 P H 6 medium 0.67563889308937 -0.351277786178739
6 2 3 4 3 276 630 P H 6 medium 0.304635761589404 0.390728476821192
6 1 2 0 1 12 10 A P 6 F 0.545454545454545 -0.0909090909090909
6 1 2 0 2 10.7 18.3 A P 6 F 0.368965517241379 0.262068965517241
6 1 2 1 1 12.8 9.6 A P 6 M 0.571428571428572 -0.142857142857143
6 1 2 1 2 0 10 A P 6 M 0 1
6 1 2 1 3 4.7 9.5 A P 6 M 0.330985915492958 0.338028169014085
6 1 3 3 2 372.7 161.9 A H 6 small 0.697156752712308 -0.394313505424616
6 1 3 3 3 0 100 A H 6 small 0 1
6 1 3 4 2 56 684 A H 6 medium 0.0756756756756757 0.848648648648649
